Территории;"январь 2006";"февраль 2006";"март 2006";"апрель 2006";"май 2006";"июнь 2006";"июль 2006";"август 2006";"сентябрь 2006";"октябрь 2006";"ноябрь 2006";"декабрь 2006";"январь 2007";"февраль 2007";"март 2007";"апрель 2007";"май 2007";"июнь 2007";"июль 2007";"август 2007";"сентябрь 2007";"октябрь 2007";"ноябрь 2007";"декабрь 2007";"январь 2008";"февраль 2008";"март 2008";"апрель 2008";"май 2008";"июнь 2008";"июль 2008";"август 2008";"сентябрь 2008";"октябрь 2008";"ноябрь 2008";"декабрь 2008";"январь 2009";"февраль 2009";"март 2009";"апрель 2009";"май 2009";"июнь 2009";"июль 2009";"август 2009";"сентябрь 2009";"октябрь 2009";"ноябрь 2009";"декабрь 2009";"январь 2010";"февраль 2010";"март 2010";"апрель 2010";"май 2010";"июнь 2010";"июль 2010";"август 2010";"сентябрь 2010";"октябрь 2010";"ноябрь 2010";"декабрь 2010";"январь 2011";"февраль 2011";"март 2011";"апрель 2011";"май 2011";"июнь 2011";"июль 2011";"август 2011";"сентябрь 2011";"октябрь 2011";"ноябрь 2011";"декабрь 2011";"январь 2012";"февраль 2012";"март 2012";"апрель 2012";"май 2012";"июнь 2012";"июль 2012";"август 2012";"сентябрь 2012";"октябрь 2012";"ноябрь 2012";"декабрь 2012";"январь 2013";"февраль 2013";"март 2013";"апрель 2013";"май 2013";"июнь 2013";"июль 2013";"август 2013";"сентябрь 2013";"октябрь 2013";"ноябрь 2013";"декабрь 2013";"январь 2014";"февраль 2014";"март 2014";"апрель 2014";"май 2014";"июнь 2014";"июль 2014";"август 2014";"сентябрь 2014";"октябрь 2014";"ноябрь 2014";"декабрь 2014";"январь 2015";"февраль 2015";"март 2015";"апрель 2015";"май 2015";"июнь 2015";"июль 2015";"август 2015";"сентябрь 2015";"октябрь 2015";"ноябрь 2015";"декабрь 2015";"январь 2016";"февраль 2016";"март 2016";"апрель 2016";"май 2016";"июнь 2016";"июль 2016";"август 2016";"сентябрь 2016";"октябрь 2016";"ноябрь 2016";"декабрь 2016";"январь 2017";"февраль 2017";"март 2017";"апрель 2017";"май 2017";"июнь 2017";"июль 2017"
"    Тульская область";3214;5983;8892;11547;14420;17185;19662;22277;24857;27824;30614;33202;2990;5571;8404;11080;14061;16421;18952;21656;24001;26776;29523;32086;3112;5646;8470;11276;13963;16479;19122;21460;24045;26791;29165;31900;2814;5087;7833;10314;12859;15415;17828;20152;22478;25027;27386;30063;2545;5011;7595;10018;12520;14907;17737;20521;22789;25253;27697;30110;2378;4661;7252;9480;11879;14037;16207;18443;20578;22823;25139;27375;2360;4639;7003;9223;11561;13768;16004;18248;20371;22703;24900;27197;2443;4514;6855;9227;11496;13500;15666;17846;19907;22359;24437;26627;2322;4374;6461;8812;11112;13028;15241;17261;19418;21670;23679;25975;2439;4510;6879;9082;11302;13379;15405;17327;19511;21662;23648;25834;2394;4454;6595;8654;10823;13084;15056;17076;19158;21239;23357;25538;2433;4360;6567;8515;10755;12727;14614
"    Ярославская область";2280;4294;6461;8429;10620;12618;14508;16489;18294;20450;22327;24202;2090;3936;6068;7895;9988;11760;13615;15469;17190;19147;21070;23009;2182;3889;5870;7813;9907;11752;13697;15447;17424;19341;20999;22865;1979;3628;5566;7336;9135;10987;12770;14368;16078;17944;19706;21651;1889;3638;5572;7328;9060;10865;12990;14964;16742;18413;20099;21934;1774;3361;5165;6802;8583;10274;11938;13644;15258;16884;18476;20092;1757;3386;5102;6737;8553;10132;11777;13404;15031;16828;18467;20141;1978;3628;5402;7081;8657;10110;11856;13392;15084;16886;18460;20151;1767;3240;4919;6610;8341;9897;11581;13030;14729;16445;17981;19750;1796;3455;5293;6969;8525;10257;11792;13282;14890;16602;18188;19854;1746;3412;5149;6747;8436;10091;11679;13365;14999;16623;18225;19954;1902;3378;5030;6476;8145;9802;11396
"    г.Москва";11814;22105;33650;43601;54418;64845;74506;84577;94854;105793;116420;127042;11644;21659;32695;42908;53797;63403;73047;83145;92740;103577;113927;124330;11622;21773;32738;43296;53707;63547;73609;83081;93477;103978;113480;124304;11186;21142;31802;41987;51535;61133;70649;79554;89030;99643;109566;120113;10430;20003;30531;40122;49604;59133;73473;88489;98062;107412;116503;126167;10113;19124;29002;38276;47487;56095;65001;74280;83397;93011;102476;111911;10156;19942;30042;39522;48981;57944;67137;77610;86843;97336;106913;117489;11184;20580;30664;40558;50282;58802;68186;77447;86657;96800;106234;116201;10311;19546;29802;39686;49905;58829;68376;77430;87251;97566;106608;117391;11042;21188;32074;42345;52087;61726;71338;80814;90629;101183;111145;121954;11673;21876;32097;42001;52095;61805;71154;81188;91024;101357;111543;123623;11858;21162;31301;40818;50753;60053;69711
"  Северо-Западный федеральный округ";21970;40747;61656;80168;100324;119392;136673;154548;171581;190602;208684;225850;19807;36914;55247;71934;90650;107128;124458;141530;158107;176728;194193;211314;20077;36697;54647;72755;90756;107820;125274;141439;159587;177694;193346;211696;18765;34764;53083;70278;86604;103810;120545;136440;152778;169961;186670;204680;18118;34433;52542;68774;85177;101491;120307;136840;153375;169548;185572;203066;17087;32552;49809;65108;81070;96602;111552;127328;142978;158590;173950;189587;16412;32280;48100;63246;79812;94904;110216;125505;139940;156748;171705;187809;17852;32757;48934;65317;80862;94558;109884;124094;138246;154472;168671;184482;16585;30834;45830;61444;76966;91378;107600;121885;137434;153428;167477;183810;17036;32193;48994;64913;79839;95136;110018;124174;139311;154744;169193;185103;17346;32922;48944;63253;78534;93111;107216;122608;137384;151975;167361;183026;17828;32186;47943;61505;76974;91686;105510
"    Республика Карелия";1122;2090;3192;4154;5249;6220;7072;8014;8943;9961;10847;11711;1032;1910;2843;3686;4713;5596;6543;7442;8275;9301;10166;10999;1065;1951;2882;3822;4800;5691;6628;7508;8490;9420;10237;11171;969;1722;2731;3588;4493;5403;6257;7043;7920;8804;9696;10607;966;1772;2726;3576;4424;5261;6222;7069;7884;8702;9556;10471;901;1632;2486;3204;4045;4852;5598;6387;7160;7948;8702;9479;868;1698;2502;3311;4219;4931;5757;6529;7273;8175;8956;9761;951;1672;2463;3323;4121;4796;5546;6257;7058;7884;8578;9354;883;1597;2306;3066;3806;4523;5350;6071;6865;7696;8409;9245;862;1631;2527;3334;4132;4943;5717;6463;7261;8034;8807;9648;846;1596;2408;3135;3935;4665;5396;6230;7029;7771;8557;9307;919;1658;2454;3128;3909;4676;5377
"    Республика Коми";1371;2482;3728;4891;6149;7254;8288;9486;10503;11591;12549;13548;1131;2143;3214;4123;5270;6315;7391;8344;9314;10360;11316;12255;1166;2068;3096;4130;5089;6101;7159;8129;9240;10311;11239;12281;1200;2179;3233;4236;5208;6263;7264;8195;9190;10187;11176;12216;1139;2041;3139;4104;5123;6083;7042;8070;9045;9899;10858;11854;1087;1975;3033;3937;4884;5760;6615;7591;8465;9346;10238;11097;907;1820;2753;3625;4584;5481;6345;7256;8073;9065;9926;10789;1028;1837;2735;3631;4502;5336;6281;7070;7897;8833;9646;10508;975;1813;2678;3560;4498;5366;6301;7154;8031;8901;9703;10636;990;1900;2831;3632;4520;5408;6250;7099;8038;8924;9741;10666;891;1776;2775;3565;4483;5354;6160;7010;7854;8711;9604;10523;1043;1835;2737;3459;4308;5120;5897
"    Архангельская область";1937;3632;5528;7103;8942;10670;12209;13879;15399;17150;18723;20229;1755;3338;4942;6452;8115;9636;11249;12746;14198;15890;17384;18844;1823;3261;4814;6358;7946;9535;11106;12499;14113;15668;17030;18586;1666;3115;4722;6197;7613;9134;10664;12078;13523;14989;16401;18046;1606;3053;4636;6071;7633;9095;10575;12099;13661;15049;16442;17982;1536;2935;4447;5857;7353;8746;10069;11498;12854;14244;15562;16914;1516;2876;4293;5619;7098;8448;9758;11045;12283;13715;15046;16415;1607;2905;4285;5752;7114;8339;9706;10893;12181;13492;14692;16055;1462;2644;3925;5198;6488;7743;9108;10353;11774;13132;14308;15782;1537;2848;4268;5647;6884;8197;9517;10697;12083;13365;14567;15889;1418;2657;4111;5340;6691;7981;9281;10560;11933;13084;14458;15783;1667;2884;4240;5364;6669;7920;9059
"      Ненецкий автономный округ";53;87;135;191;242;309;345;395;439;468;501;539;50;81;127;161;212;263;319;351;393;436;491;526;65;90;142;178;225;288;322;366;419;458;488;545;43;83;124;165;198;240;280;308;355;393;455;490;46;96;141;183;227;266;316;347;387;426;466;505;45;85;125;166;210;240;281;321;346;379;409;443;44;72;108;144;183;221;264;294;325;367;402;435;47;79;114;147;189;219;265;301;340;384;420;460;39;71;105;137;174;201;239;267;294;321;346;385;37;71;106;139;161;193;228;260;296;329;366;404;37;70;120;148;170;197;239;269;297;327;360;388;43;70;116;144;183;215;238
"      Архангельская область (кроме Ненецкого автономного округа)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1423;2573;3820;5061;6314;7542;8869;10086;11480;12811;13962;15397;1500;2777;4162;5508;6723;8004;9289;10437;11787;13036;14201;15485;1381;2587;3991;5192;6521;7784;9042;10291;11636;12757;14098;15395;1624;2814;4124;5220;6486;7705;8821
"    Вологодская область";1982;3754;5731;7539;9484;11325;12982;14655;16241;17895;19496;21096;1789;3382;5093;6603;8405;9948;11521;13040;14567;16241;17927;19532;1843;3433;5100;6791;8599;10224;11864;13472;15156;16831;18259;19968;1844;3301;5002;6720;8326;10047;11685;13223;14761;16415;18012;19733;1752;3338;5147;6779;8513;10157;12084;13726;15298;16904;18428;20194;1697;3266;4908;6430;8101;9734;11250;12760;14296;15776;17309;18803;1523;3031;4497;5977;7595;9058;10550;12077;13479;15065;16493;18013;1680;3027;4627;6244;7808;9235;10780;12178;13597;15069;16431;18019;1604;2953;4403;5863;7427;8875;10391;11791;13316;14778;16117;17686;1704;3080;4685;6244;7633;9124;10531;11887;13325;14739;16174;17614;1741;3201;4705;6054;7533;9037;10454;12037;13469;14903;16342;17793;1694;3047;4492;5792;7324;8803;10184
